RUSH SR Race 4 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,70,James French,SR,2:27.298,5,6,,25
2,8,Blair Hosie,SR,2:27.063,5,6,0.006,21
3,56,Ryan Leach,SR,2:27.376,4,6,1.361,18
4,34,Andy Voelkel,SR,2:27.990,2,6,5.814,16
5,7,Nico Bratz,SR,2:28.766,3,6,2.668,15
6,114,Bryce Mersberger,SR,2:28.385,2,6,0.356,14
7,74,Jason Oehler,SR,2:29.067,2,6,9.388,13
8,88,Jaylen Battely,SR,2:29.500,3,6,0.936,12
9,190,John Robinson,SR,2:30.184,5,6,0.071,11
10,9,Nicholas Billingsley,SR,2:30.675,3,6,1.306,10
11,48,Brandon Schwarz,SR,2:29.568,3,6,0.05,9
12,253,Hasan Ahmed,SR,2:30.722,2,6,1.789,8
13,121,Aryton Grim,SR,2:29.786,5,6,0.069,7
14,25,Mark Charnogorsky,SR,2:29.632,3,6,0.001,6
15,51,Gage Hughes,SR,2:30.609,5,6,1.357,5
16,188,Matt Wilson,SR,2:30.697,3,6,0.124,4
17,12,Andor  Tobelem,SR,2:29.571,6,6,1.518,3
18,111,Ellis Spiezia,SR,2:29.627,4,6,1.941,2
19,28,Tj Hunt,SR,2:31.527,2,6,1.339,1
20,117,Kevin Kirkwood,SR,2:32.377,4,6,0.954,0
21,18,Darius Garcia,SR,2:31.800,2,6,0.055,0
22,60,Adam Spence,SR,2:33.410,6,6,8.508,0
23,99,Jared Anderson,SR,2:34.803,4,6,2.851,0
24,59,Larry Brady,SR,2:34.801,5,6,0.474,0
25,115,Ethan Hardesty,SR,2:31.761,6,6,7.274,0
26,113,Tim Burkard,SR,2:33.776,6,6,0.226,0
27,30,Vilas Saldanha,SR,2:33.219,3,6,5.446,0
28,256,Samuel Reed,SR,2:33.591,4,6,1.513,0
29,227,Aj Campo,SR,2:34.858,4,6,5.062,0
30,35,Jd Krull,SR,2:35.770,3,6,0.067,0
31,107,Leah Bauer,SR,2:33.971,4,6,4.795,0
32,77,Jake Sanders,SR,2:34.281,5,6,0.181,0
33,20,Bill Dorrance,SR,2:32.807,3,6,6.774,0
34,75,Tom Kersting,SR,2:36.011,6,6,1.842,0
35,22,Jeremy Boysen,SR,2:33.821,4,6,1.536,0
36,128,Jeff Hardesty,SR,2:33.543,6,6,0.17,0
37,38,Luke Krepsky,SR,2:36.766,6,6,4.748,0
38,17,John Howe,SR,2:41.477,2,6,10.565,0
39,29,Team End Alzheimers Motorsports,SR,2:41.057,6,6,2.712,0
40,33,Ethan Alexander,SR,2:28.477,2,4,2 Laps,0
41,144,Nate Hamilton,SR,2:31.242,2,4,15.579,0
42,19,Kelsey Billingsley,SR,2:32.962,4,4,6.055,0
43,244,Robert Andrews,SR,2:44.856,2,4,1:12.642,0
"Penalty Car 115: Incident Responsiblity, Minor with car 19 - Loss of 5 finishing positions",,,,,,,,
"Penalty Car 121: Incident Responsiblity, Minor with car 51 - Warning",,,,,,,,
,,,,,,,,Official Results Posted 7/27/25 21:45
