TrackBattle Heat 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,830,Eric Fleming,UNLIMITED - RWD,2:04.203,CORVETTE
2,921,Jim Rauck,UNLIMITED - FWD,2:12.141,CIVIC
3,338,Ernestas Puzelis,UNLIMITED - RWD,2:14.149,CORVETTE
4,687,Jackie Ding,TRACK MOD - RWD,2:16.342,M2
5,70,Dewey Dewitt,STREET MOD - AWD,2:16.598,IMPREZA
6,445,Justin Peachey,TRACK MOD - RWD,2:17.416,CORVETTE
7,14,Kal Fortner,STREET MOD - RWD,2:18.028,MERCEDES-AMG GT
8,212,Chris Smith,TRACK MOD - RWD,2:19.209,1 SERIES
9,82,Jaime Santos,STREET MOD - RWD,2:20.600,1 SERIES
10,369,Igor Kesilyov,TRACK MOD - AWD,2:20.642,MODEL S
11,717,Luke Mcgrew,STREET GT - RWD,2:21.095,Z06
12,121,Ryan Mathews,STREET MOD - RWD,2:21.288,CORVETTE
13,150,Alex Moss,STREET MOD - RWD,2:21.717,S2000
14,444,Luca Barberis,STREET MOD - RWD,2:22.488,GR SUPRA
15,211,Ryan Mathews,STREET GT - RWD,2:22.838,CORVETTE
16,424,Derric Carter,UNLIMITED - RWD,2:23.051,MUSTANG
17,115,Wesley Penn,UNLIMITED - RWD,2:23.450,CORVETTE
18,426,Alex Roy,TRACK MOD - RWD,2:23.897,M2
19,909,Mark Kilgore,STREET GT - RWD,2:25.704,M4
20,314,Michael Puglisi,TRACK MOD - AWD,2:26.055,LANCER
21,22,Dallas Reed,UNLIMITED - AWD,2:26.450,CORVETTE
22,96,Michael Young,TRACK MOD - RWD,2:27.199,CORVETTE
23,247,Erik Pylypchuk,UNLIMITED - RWD,2:27.673,3 SERIES
24,193,Brad Moore,STREET - RWD,2:27.769,718 CAYMAN
25,773,Luie Zendejas,UNLIMITED - RWD,2:27.895,CORVETTE
26,276,Tj Ball,TRACK MOD - RWD,2:28.645,3 SERIES
27,228,Brad Smith,STREET GT - RWD,2:28.871,CAMARO
28,364,Nicholas Hendrix,STREET GT - RWD,2:29.485,CORVETTE
29,310,Mike Coons,STREET - AWD,2:29.718,IMPREZA
30,38,Aaron Rekkedahl,STREET - FWD,2:30.083 DQ,CIVIC TYPE R
31,466,Willem Drees,STREET - FWD,2:30.126,ELANTRA N
32,511,Peter Granberg,CLUB TR - RWD,2:30.944,BRZ
33,311,Jan Wildner,STREET - RWD,2:30.989,240SX
34,205,Neal Scharte,STREET MOD - RWD,2:32.040,RX-8
35,73,Jeremy Salenius,STREET MOD - RWD,2:32.505,CORVETTE
36,13,Jerami Bailey,CLUB TR - RWD,2:32.681,FR-S
37,716,Darius Zajac,TRACK MOD - RWD,2:32.878,CORVETTE
38,71,Joel Morrison,TRACK MOD - RWD,2:33.649,S2000
39,45,Ross Ligibel,STREET - RWD,2:33.731,
40,23,King Thao,CLUB TR - FWD,2:33.799,CIVIC
41,540,Bucky Lasek,TRACK MOD - AWD,2:33.972,IMPREZA
42,727,Mario Mirone,CLUB TR - FWD,2:34.282,CIVIC
43,94,Mike Bryant,CLUB TR - RWD,2:34.447,MX-5 MIATA
44,622,Jake Rawson,CLUB TR - RWD,2:34.584,3 SERIES
45,69,Cody Umbaugh,STREET - FWD,2:35.239,CIVIC TYPE R
46,326,Stan Fayngold,CLUB TR - RWD,2:35.668,FR-S
47,241,Dariush Lotfi,CLUB TR - RWD,2:36.302,MX-5 MIATA
48,145,Devin Hofmann,STREET MOD - AWD,2:36.468,WRX
49,997,Jason Gaydos,CLUB TR - RWD,2:37.153,BRZ
50,515,Jared Garcia,CLUB TR - RWD,2:38.492,S2000
51,262,Noah Janke,CLUB TR - RWD,2:39.235,MR2
52,238,Garrett Gloceri,CLUB TR - RWD,2:39.333,RX-8
53,949,Evin Degirmencioglu,STREET GT - RWD,2:39.670,MUSTANG
54,169,Dan Mai,CLUB TR - RWD,2:40.240,325I
55,521,Juniper Zarder,STREET MOD - RWD,2:40.303,Z
