TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
1,830,Eric Fleming,UNLIMITED - RWD,2:04.203,CORVETTE
2,57,Mike Dusold,UNLIMITED - RWD,2:04.522,CAMARO
3,304,Allen Patten,TRACK MOD - RWD,2:08.779,CORVETTE
4,921,Jim Rauck,UNLIMITED - FWD,2:11.338,CIVIC
5,687,Jackie Ding,TRACK MOD - RWD,2:11.742,M2
6,338,Ernestas Puzelis,UNLIMITED - RWD,2:13.330,CORVETTE
7,70,Dewey Dewitt,STREET MOD - AWD,2:15.791,IMPREZA
8,444,Luca Barberis,STREET MOD - RWD,2:16.707,GR SUPRA
9,445,Justin Peachey,TRACK MOD - RWD,2:17.416,CORVETTE
10,14,Kal Fortner,STREET MOD - RWD,2:17.477,MERCEDES-AMG GT
11,121,Ryan Mathews,STREET MOD - RWD,2:18.442,CORVETTE
12,369,Igor Kesilyov,TRACK MOD - AWD,2:18.901,MODEL S
13,212,Chris Smith,TRACK MOD - RWD,2:19.152,1 SERIES
14,171,Andrius Bertulis,UNLIMITED - RWD,2:19.972,RCF
15,717,Luke Mcgrew,STREET GT - RWD,2:20.052,Z06
16,82,Jaime Santos,STREET MOD - RWD,2:20.101,1 SERIES
17,773,Luie Zendejas,UNLIMITED - RWD,2:20.866,CORVETTE
18,150,Alex Moss,STREET MOD - RWD,2:21.324,S2000
19,424,Derric Carter,UNLIMITED - RWD,2:21.547,MUSTANG
20,211,Ryan Mathews,STREET GT - RWD,2:21.723,CORVETTE
21,426,Alex Roy,TRACK MOD - RWD,2:22.015,M2
22,364,Nicholas Hendrix,STREET GT - RWD,2:22.063,CORVETTE
23,314,Michael Puglisi,TRACK MOD - AWD,2:22.322,LANCER
24,11,Graham Gaylord,STREET MOD - AWD,2:22.438,IMPREZA
25,115,Wesley Penn,UNLIMITED - RWD,2:22.983,CORVETTE
26,298,Kurt Dieker,UNLIMITED - RWD,2:23.256,MUSTANG
27,909,Mark Kilgore,STREET GT - RWD,2:24.273,M4
28,125,Jeremy Lowder,UNLIMITED - RWD,2:24.874,CAMARO
29,269,Shawn Bassett,UNLIMITED - RWD,2:25.192,240Z
30,96,Michael Young,TRACK MOD - RWD,2:25.885,CORVETTE
31,193,Brad Moore,STREET - RWD,2:25.912,718 CAYMAN
32,247,Erik Pylypchuk,UNLIMITED - RWD,2:26.022,3 SERIES
33,540,Bucky Lasek,TRACK MOD - AWD,2:26.170,IMPREZA
34,22,Dallas Reed,UNLIMITED - AWD,2:26.248,CORVETTE
35,276,Tj Ball,TRACK MOD - RWD,2:27.127,3 SERIES
36,310,Mike Coons,STREET - AWD,2:27.271,IMPREZA
37,228,Brad Smith,STREET GT - RWD,2:27.727,CAMARO
38,38,Aaron Rekkedahl,STREET - FWD,2:28.590,CIVIC TYPE R
39,466,Willem Drees,STREET - FWD,2:28.609,ELANTRA N
40,44,Joel Phillips,STREET GT - RWD,2:28.926,911
41,205,Neal Scharte,STREET MOD - RWD,2:28.974,RX-8
42,727,Mario Mirone,CLUB TR - FWD,2:29.669,CIVIC
43,73,Jeremy Salenius,STREET MOD - RWD,2:29.694,CORVETTE
44,511,Peter Granberg,CLUB TR - RWD,2:30.000,BRZ
45,128,Daniel Moore,TRACK MOD - FWD,2:30.465,CIVIC
46,55,Charles Miller,STREET - AWD,2:30.799,LANCER
47,311,Jan Wildner,STREET - RWD,2:30.989,240SX
48,716,Darius Zajac,TRACK MOD - RWD,2:31.301,CORVETTE
49,326,Stan Fayngold,CLUB TR - RWD,2:31.411,FR-S
50,244,Mike Burroughs,TRACK MOD - RWD,2:31.460,244 GTK
51,45,Ross Ligibel,STREET - RWD,2:31.545,
52,13,Jerami Bailey,CLUB TR - RWD,2:31.590,FR-S
53,145,Devin Hofmann,STREET MOD - AWD,2:32.170,WRX
54,622,Jake Rawson,CLUB TR - RWD,2:32.675,3 SERIES
55,69,Cody Umbaugh,STREET - FWD,2:32.719,CIVIC TYPE R
56,94,Mike Bryant,CLUB TR - RWD,2:32.836,MX-5 MIATA
57,199,Ian Flavin,CLUB TR - RWD,2:32.949,BRZ
58,194,Mike Callaway,STREET - AWD,2:33.233,IMPREZA
59,71,Joel Morrison,TRACK MOD - RWD,2:33.649,S2000
60,23,King Thao,CLUB TR - FWD,2:33.799,CIVIC
61,997,Jason Gaydos,CLUB TR - RWD,2:33.837,BRZ
62,521,Juniper Zarder,STREET MOD - RWD,2:34.509,Z
63,241,Dariush Lotfi,CLUB TR - RWD,2:36.009,MX-5 MIATA
64,26,Arthur Dvortsen,CLUB TR - RWD,2:36.206,MX-5 MIATA
65,949,Evin Degirmencioglu,STREET GT - RWD,2:36.852,MUSTANG
66,515,Jared Garcia,CLUB TR - RWD,2:37.261,S2000
67,238,Garrett Gloceri,CLUB TR - RWD,2:37.958,RX-8
68,169,Dan Mai,CLUB TR - RWD,2:39.171,325I
69,262,Noah Janke,CLUB TR - RWD,2:39.235,MR2
70,108,Andre Wenzel,TRACK MOD - RWD,2:40.033,RX-7
71,48,Jeremy Hensley,STREET - AWD,2:40.783,IMPREZA
72,46,Nehru Cheddie,STREET - RWD,2:41.893,M3
73,736,Cody Smith,STREET MOD - RWD,2:42.808,CUTLASS
74,133,Lars Vogler,STREET - RWD,2:43.321,M3
75,444x,Mark Gaydos,TRACK MOD - RWD,2:44.183,3 SERIES
76,222,Beth Conaway,STREET GT - RWD,2:46.590,CORVETTE
77,818,Jonny Grunwald,TRACK MOD - RWD,2:47.015,RX-7
78,67,Jonathan Denk,STREET MOD - FWD,2:47.926,CIVIC
79,156,Mike Janssen,CLUB SC - FWD,2:53.331,CIVIC
80,200,Patrick Greunke,STREET MOD - AWD,2:53.419,IMPREZA
81,130,James Smith,CLUB SC - FWD,2:53.994,FIT
82,377,Jack Coughlin,CLUB SC - FWD,2:55.706,COUPE
83,302,Adam Cook,STREET MOD - RWD,2:56.457,MARK VIII
84,122,Jason Davidson,CLUB SC - FWD,2:57.499,FIT
85,201,Joseph Lynch,STREET MOD - RWD,2:59.620,S2000
86,75,Jerome Cahuzac,STREET GT - RWD,,M2
"Penalty Car 38: Impound Violation, Technical Compliance for Class - Heat 1 and 2 DQ",,,,,
,,,,,Results Published 7/27/25 09:45
