TrackBattle Podium Sprint Results,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,156,Mike Janssen,CLUB SC - FWD,02:53.987,CIVIC
2,130,James Smith,CLUB SC - FWD,02:54.678,FIT
3,377,Jack Coughlin,CLUB SC - FWD,02:57.247,COUPE
4,122,Jason Davidson,CLUB SC - FWD,02:57.612,FIT
5,370,Sam Deuling,CLUB SC - FWD,02:58.211,FIT
1,511,Peter Granberg,CLUB TR - RWD,02:31.227,BRZ
2,326,Stan Fayngold,CLUB TR - RWD,02:31.290,FR-S
3,727,Mario Mirone,CLUB TR - FWD,02:31.919,CIVIC
4,13,Jerami Bailey,CLUB TR - RWD,02:32.553,FR-S
5,622,Jake Rawson,CLUB TR - RWD,02:34.079,3 SERIES
1,193,Brad Moore,STREET - RWD,02:28.353,718 CAYMAN
2,310,Mike Coons,STREET - AWD,02:29.833,IMPREZA
3,38,Aaron Rekkedahl,STREET - FWD,02:30.391,CIVIC TYPE R
4,466,Willem Drees,STREET - FWD,DNS,ELANTRA
5,55,Charles Miller,STREET - AWD,DNS,EVO
1,717,Luke Mcgrew,STREET GT - RWD,02:20.089,Z06
2,364,Nicholas Hendrix,STREET GT - RWD,02:24.072,CORVETTE
3,909,Mark Kilgore,STREET GT - RWD,02:24.479,M4
4,211,Ryan Mathews,STREET GT - RWD,02:24.616,CORVETTE
5,228,Brad Smith,STREET GT - RWD,02:28.156,CAMARO
1,70,Dewey Dewitt,STREET MOD - AWD,02:16.294,IMPREZA
2,444,Luca Barberis,STREET MOD - RWD,02:18.020,GR SUPRA
3,121,Ryan Mathews,STREET MOD - RWD,02:19.259,CORVETTE
4,14,Kal Fortner,STREET MOD - RWD,02:20.379,MERCEDES-AMG GT
5,82,Jaime Santos,STREET MOD - RWD,02:21.527,1 SERIES
1,304,Allen Patten,TRACK MOD - RWD,02:08.669,CORVETTE
2,687,Jackie Ding,TRACK MOD - RWD,02:12.552,M2
3,445,Justin Peachey,TRACK MOD - RWD,02:18.192,CORVETTE
4,212,Chris Smith,TRACK MOD - RWD,02:18.753,1 SERIES
5,369,Igor Kesilyov,TRACK MOD - AWD,02:20.864,MODEL S
1,57,Mike Dusold,UNLIMITED - RWD,02:08.788,CAMARO
2,338,Ernestas Puzelis,UNLIMITED - RWD,02:13.433,CORVETTE
3,171,Andrius Bertulis,UNLIMITED - RWD,02:20.045,RCF
4,830,Eric Fleming,UNLIMITED - RWD,DNS,CORVETTE
5,921,Jim Rauck,UNLIMITED - RWD,DNS,CIVIC
Incident with Car 377 reviewed - No Action,,,,,
